name,family,provenance,ic_1,icir_1,ic_5,ic_20,ic_decay,n_days,ls_sharpe,fold_sharpes,pval,dsr_prob,turnover,pval_pass,verdict,reason,max_corr,delta_sharpe,delta_maxdd,improves_book
mom_28,momentum,Qlib Alpha158,-0.015800049381107024,-2.2346416647854275,-0.005175525146987072,0.0036560511621341256,-0.005175525146987072,1935,0.826271312183926,"[2.0371015350526753, 0.9219904886214262, 0.8623626666005157, -1.408541049777526]",0.025440883199139952,0.2672161492557976,0.021865479672124107,True,REJECTED,negative OOS fold,,,,False
base_xsmom_28,baseline,in-repo alphas.py,-0.015800049381107024,-2.2346416647854275,-0.005175525146987072,0.0036560511621341256,-0.005175525146987072,1935,0.826271312183926,"[2.0371015350526753, 0.9219904886214262, 0.8623626666005157, -1.408541049777526]",0.025440883199139952,0.2672161492557976,0.021865479672124107,True,REJECTED,negative OOS fold,,,,False
anchorcorr_63,beta,Jansen ML4T,-0.04744194942123285,-7.7916391404635945,-0.0456614385026455,-0.05631247137914346,-0.0456614385026455,1901,0.7795010038109892,"[2.4492519666667363, -1.4777879697565608, 0.9487341379989629, -0.07280232001087796]",6.661338147750939e-15,0.2274441171213895,0.018223501259871943,True,REJECTED,negative OOS fold,,,,False
lowbeta_63,beta,Jansen ML4T,0.04479744273218991,5.282816944994579,0.0840197825012277,0.13110298784786678,0.0840197825012277,1901,0.66762950305597,"[1.8937628221343454, 0.5703494407918911, -0.8968593123060765, 0.7590848650210411]",1.2721248765501514e-07,0.16071075442493354,0.02273269128139941,True,REJECTED,negative OOS fold,,,,False
px_over_ma_200,trendvalue,in-repo alphas.py,0.004509743531694554,0.5552524905565968,0.029195043137927045,0.05740669852413013,0.029195043137927045,1764,0.6138499727198385,"[1.3560170785560341, -0.7757531250431605, 1.6464111342013485, 0.013691739456935708]",0.5787219701270003,0.13461227051292712,0.018765967213405448,False,REJECTED,failed FDR,,,,False
base_trend_200,baseline,in-repo alphas.py,0.004509743531694554,0.5552524905565968,0.029195043137927045,0.05740669852413013,0.029195043137927045,1764,0.6138499727198385,"[1.3560170785560341, -0.7757531250431605, 1.6464111342013485, 0.013691739456935708]",0.5787219701270003,0.13461227051292712,0.018765967213405448,False,REJECTED,failed FDR,,,,False
mom_vadj_21,momentum,Jansen ML4T,-0.01567015144255003,-2.454500812142967,-0.0035509197861020663,0.006450080906847258,-0.0035509197861020663,1942,0.5414351902187948,"[0.9306184714136057, 0.12814125090183257, 1.1985418930123777, -0.4146012476976153]",0.014108034584551676,0.12947764528656946,0.021033484108515764,True,REJECTED,negative OOS fold,,,,False
anchorcorr_21,beta,Jansen ML4T,-0.046120895061022626,-7.838649922670827,-0.03923860194068987,-0.05055610005283302,-0.03923860194068987,1943,0.5411162604936601,"[1.4254768763357397, -1.5290763790040098, 0.8409828735656845, 0.5781457676919454]",4.440892098500626e-15,0.09469403857135122,0.019236004920887364,True,REJECTED,negative OOS fold,,,,False
mom_vadj_28,momentum,Jansen ML4T,-0.01418328358423292,-2.2134994474179526,-0.007921920791019266,0.00366451607464326,-0.007921920791019266,1935,0.5256030572328767,"[1.5086671110491359, 0.31420990869023, 0.3714763641823528, -0.6893471069038595]",0.026863231291408995,0.09102411295180912,0.020041031266835634,True,REJECTED,negative OOS fold,,,,False
kbar_closepos_21,kbar,Qlib Alpha158,0.018764497957657222,2.9892572118539062,0.033154425831374686,0.05001861727965224,0.033154425831374686,1943,0.520314745741185,"[0.9074016273283297, 0.18034389772983814, 0.669796121296956, -0.14923569381101257]",0.002796566027149172,0.0899617686957882,0.01883416493497278,True,REJECTED,negative OOS fold,,,,False
