sym,iv,strat,CAGR,MaxDD,Sharpe,WR,PF,n,final
BNBUSDT,4h,donchian_55_20,2.668,-30.118,0.231,37.143,1.111,35,10938.247
BNBUSDT,4h,donchian_pyr,10.714,-34.942,0.49,44.262,1.281,61,14165.676
BNBUSDT,4h,qb_hybrid,2.272,-31.134,0.218,46.269,1.057,67,10798.827
BNBUSDT,4h,qb_hybrid_tr,6.194,-28.431,0.364,48.529,1.157,68,12283.018
BNBUSDT,4h,meanrev,-5.689,-33.161,-0.177,61.333,0.855,75,8183.879
BNBUSDT,4h,qb_v1,10.443,-35.695,0.488,44.706,1.219,85,14026.206
BTCUSDT,1d,donchian_20_10,6.914,-17.588,0.433,33.333,1.738,12,12517.58
BTCUSDT,1d,donchian_55_20,4.71,-15.638,0.345,50.0,1.967,8,11630.573
BTCUSDT,1d,donchian_pyr,77.048,-13.956,1.317,66.667,21.948,12,68788.17
BTCUSDT,1d,qb_hybrid,6.54,-14.361,0.464,38.462,1.881,13,12373.583
BTCUSDT,1d,qb_hybrid_tr,6.195,-14.361,0.461,38.462,1.835,13,12238.683
BTCUSDT,1d,meanrev,1.922,-13.247,0.26,77.778,1.379,9,10664.215
BTCUSDT,1d,qb_v1,8.027,-29.83,0.486,42.105,1.461,19,12966.633
BTCUSDT,1h,donchian_20_10,-19.235,-65.557,-0.795,30.515,0.803,272,4808.185
BTCUSDT,1h,donchian_55_20,-7.883,-58.199,-0.236,26.752,0.906,157,7549.324
BTCUSDT,1h,donchian_pyr,-19.011,-65.255,-0.783,30.882,0.805,272,4854.069
BTCUSDT,1h,qb_hybrid,-28.92,-75.86,-1.265,31.629,0.74,313,3103.197
BTCUSDT,1h,qb_hybrid_tr,-29.983,-77.746,-1.417,30.341,0.725,323,2947.001
BTCUSDT,1h,meanrev,-23.928,-62.034,-1.278,51.961,0.683,306,3916.151
BTCUSDT,1h,qb_v1,-33.968,-81.637,-1.312,28.54,0.76,452,2410.696
BTCUSDT,4h,donchian_20_10,22.733,-28.281,0.962,38.095,1.488,63,20154.879
BTCUSDT,4h,donchian_55_20,32.294,-27.39,1.328,44.444,1.995,36,25935.677
BTCUSDT,4h,donchian_pyr,31.531,-25.318,1.151,39.683,1.63,63,25541.625
BTCUSDT,4h,qb_hybrid,31.811,-27.727,1.219,47.222,1.668,72,25728.466
BTCUSDT,4h,qb_hybrid_tr,27.611,-27.625,1.119,44.737,1.58,76,23030.106
BTCUSDT,4h,meanrev,-0.607,-22.601,0.062,62.963,0.982,81,9793.972
BTCUSDT,4h,qb_v1,23.74,-32.676,0.906,43.81,1.344,105,20694.867
DOGEUSDT,1d,donchian_20_10,8.266,-23.603,0.449,40.0,1.859,10,13077.413
DOGEUSDT,1d,donchian_55_20,11.29,-23.6,0.588,50.0,2.834,6,14206.124
DOGEUSDT,1d,donchian_pyr,112.707,-19.995,1.378,70.0,53.662,10,128019.529
DOGEUSDT,1d,qb_hybrid,6.321,-21.438,0.405,40.0,1.765,10,12300.463
DOGEUSDT,1d,qb_hybrid_tr,9.049,-21.438,0.537,40.0,2.28,10,13399.456
DOGEUSDT,1d,meanrev,0.383,-7.847,0.088,60.0,1.098,10,10129.806
DOGEUSDT,1d,qb_v1,12.258,-24.33,0.612,33.333,2.464,15,14770.826
DOGEUSDT,1h,donchian_20_10,-36.538,-86.783,-0.83,23.97,0.528,267,2104.051
DOGEUSDT,1h,donchian_55_20,-18.403,-66.832,-0.227,21.233,0.78,146,4984.072
DOGEUSDT,1h,donchian_pyr,1.048,-72.774,0.295,26.592,1.01,267,10363.805
DOGEUSDT,1h,qb_hybrid,-35.785,-84.986,-0.788,31.19,0.61,311,2190.801
DOGEUSDT,1h,qb_hybrid_tr,-32.374,-80.605,-0.772,33.125,0.633,320,2616.153
DOGEUSDT,1h,meanrev,-23.472,-67.799,-0.685,61.837,0.821,283,3997.194
DOGEUSDT,1h,qb_v1,-15.595,-75.524,-0.071,32.374,0.882,417,5592.345
DOGEUSDT,4h,donchian_20_10,-22.589,-61.932,-0.447,21.875,0.606,64,4164.312
DOGEUSDT,4h,donchian_55_20,-3.169,-45.031,0.117,36.111,0.92,36,8961.332
DOGEUSDT,4h,donchian_pyr,83.098,-45.343,1.177,34.375,1.962,64,79206.724
DOGEUSDT,4h,qb_hybrid,-14.316,-59.328,-0.223,30.986,0.744,71,5894.178
DOGEUSDT,4h,qb_hybrid_tr,-10.214,-48.175,-0.129,31.081,0.813,74,6916.909
DOGEUSDT,4h,meanrev,-12.309,-44.39,-0.478,58.228,0.757,79,6379.981
DOGEUSDT,4h,qb_v1,-5.029,-48.4,0.104,33.673,0.917,98,8381.721
ETHUSDT,1d,donchian_20_10,-1.141,-34.427,0.04,33.333,0.9,12,9619.778
ETHUSDT,1d,donchian_55_20,14.104,-21.476,0.786,60.0,6.782,5,15419.625
ETHUSDT,1d,donchian_pyr,98.598,-24.328,1.295,66.667,9.467,12,101528.325
ETHUSDT,1d,qb_hybrid,0.751,-26.829,0.128,45.455,1.099,11,10255.951
ETHUSDT,1d,qb_hybrid_tr,-0.99,-28.26,0.018,41.667,0.891,12,9669.626
ETHUSDT,1d,meanrev,-2.518,-17.478,-0.263,50.0,0.639,10,9174.435
ETHUSDT,1d,qb_v1,-0.665,-27.714,0.056,31.579,0.945,19,9768.744
